project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	a260_a280_ratio	amount	analyte_quantity	analyte_type	analyte_type_id	analyte_volume	concentration	experimental_protocol_type	normal_tumor_genotype_snp_match	ribosomal_rna_28s_16s_ratio	rna_integrity_number	spectrophotometer_method	state	well_number
HCMI-CMDC	d420e653-3fb2-432b-9e81-81232a80264d	HCM-BROD-0210-C71	5156afbb-d9c2-4135-bc7b-e8f1e7bff119	HCM-BROD-0210-C71-02A	6959efaf-0949-461b-b434-218fa5f175c8	HCM-BROD-0210-C71-02A-11	810f9cc0-12de-4110-9411-0ff2ad68f82a	HCM-BROD-0210-C71-02A-11D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	d420e653-3fb2-432b-9e81-81232a80264d	HCM-BROD-0210-C71	5156afbb-d9c2-4135-bc7b-e8f1e7bff119	HCM-BROD-0210-C71-02A	6959efaf-0949-461b-b434-218fa5f175c8	HCM-BROD-0210-C71-02A-11	c3b663eb-e135-4897-8d20-d413155cebd9	HCM-BROD-0210-C71-02A-11R	1.83	'--	'--	RNA	R	'--	0.17	mirVana (Allprep DNA) RNA	Yes	0.91	6.9	UV Spec	released	'--
HCMI-CMDC	d420e653-3fb2-432b-9e81-81232a80264d	HCM-BROD-0210-C71	72ac77f9-dd1b-4ac4-ac3e-0d197415463a	HCM-BROD-0210-C71-10A	dcdab8b0-7099-4e9c-b453-2c78c2df4498	HCM-BROD-0210-C71-10A-01	09994928-d52a-4144-823c-2542f69cc5ed	HCM-BROD-0210-C71-10A-01D	'--	'--	'--	DNA	D	'--	0.12	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	d420e653-3fb2-432b-9e81-81232a80264d	HCM-BROD-0210-C71	dc5c7f67-8417-4194-844d-546eb00ea320	HCM-BROD-0210-C71-85R	f47c5787-8bf0-5b7c-98f8-830cdc4353a8	'--	6e715aaa-3a6f-4678-a027-8117f36257b1	HCM-BROD-0210-C71-85R-01D	'--	'--	'--	DNA	D	'--	0.14	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	d420e653-3fb2-432b-9e81-81232a80264d	HCM-BROD-0210-C71	dc5c7f67-8417-4194-844d-546eb00ea320	HCM-BROD-0210-C71-85R	d13aa4de-80b0-594f-9303-7f9043a40aa9	'--	c4fa0c6d-4f90-41d5-bb66-6e4ee5574bd2	HCM-BROD-0210-C71-85R-01R	1.67	'--	'--	RNA	R	'--	0.15	mirVana (Allprep DNA) RNA	Yes	0.39	7.1	UV Spec	released	'--
HCMI-CMDC	2c636721-d11e-463e-8f77-a23501dd3d60	HCM-BROD-0209-C71	0daab2ee-cc18-4c9d-af5e-260f9dfb0b15	HCM-BROD-0209-C71-02A	8056c5a6-0d8e-4e1e-83a7-a975be5c6e17	HCM-BROD-0209-C71-02A-11	2824d32b-6f2e-443b-8ff8-de2017c7777f	HCM-BROD-0209-C71-02A-11D	'--	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	2c636721-d11e-463e-8f77-a23501dd3d60	HCM-BROD-0209-C71	0daab2ee-cc18-4c9d-af5e-260f9dfb0b15	HCM-BROD-0209-C71-02A	8056c5a6-0d8e-4e1e-83a7-a975be5c6e17	HCM-BROD-0209-C71-02A-11	f11d7f52-d1b5-44b3-9573-8a43d5364ad4	HCM-BROD-0209-C71-02A-11R	1.9	'--	'--	RNA	R	'--	0.17	mirVana (Allprep DNA) RNA	Yes	2.17	9.0	UV Spec	released	'--
HCMI-CMDC	2c636721-d11e-463e-8f77-a23501dd3d60	HCM-BROD-0209-C71	28b75c24-d00c-44bf-a0d4-c2b49696e8c8	HCM-BROD-0209-C71-85A	2cffec38-4b61-5b5b-bba3-1068a797527a	'--	ab9e8f3d-d443-4d75-8e50-26508c68145e	HCM-BROD-0209-C71-85A-01R	1.86	'--	'--	RNA	R	'--	0.12	mirVana (Allprep DNA) RNA	Yes	1.94	8.2	UV Spec	released	'--
HCMI-CMDC	2c636721-d11e-463e-8f77-a23501dd3d60	HCM-BROD-0209-C71	28b75c24-d00c-44bf-a0d4-c2b49696e8c8	HCM-BROD-0209-C71-85A	ef922fd6-7038-57aa-8592-9d57cb020fc1	'--	e3142028-1a2f-419c-b314-12e5c17c8578	HCM-BROD-0209-C71-85A-01D	'--	'--	'--	DNA	D	'--	0.14	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	2c636721-d11e-463e-8f77-a23501dd3d60	HCM-BROD-0209-C71	5d65ef21-c0c4-4dc8-9717-223836e13fe4	HCM-BROD-0209-C71-10A	cd8ed395-1da7-4735-a708-37760fb2db1a	HCM-BROD-0209-C71-10A-01	9b35ae45-6c00-4ce6-b368-e2d0702ddfe4	HCM-BROD-0209-C71-10A-01D	'--	'--	'--	DNA	D	'--	0.12	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	afa149e0-edb7-4f8e-9f56-6e1c0ac78287	HCM-BROD-0106-C71	1d549467-2853-49af-adb7-93c93aacf6fe	HCM-BROD-0106-C71-02A	a5138e50-372e-4fef-bcdf-a5f4008b94d2	HCM-BROD-0106-C71-02A-11	5f1ad35f-a8cb-48eb-95e9-343fd2ebfc5e	HCM-BROD-0106-C71-02A-11R	2.13	'--	'--	RNA	R	'--	0.17	mirVana (Allprep DNA) RNA	Yes	1.39	8.4	UV Spec	released	'--
